year,town,flat_type,median_rent
2016,BUKIT TIMAH,EXECUTIVE,NA
2016,CENTRAL,3 Room,2262.5
2016,CENTRAL,4 Room,2987.5
2016,CENTRAL,5 Room,NA
2016,CENTRAL,EXECUTIVE,NA
2016,CHOA CHU KANG,3 Room,NA
2016,CHOA CHU KANG,4 Room,1950
2016,CHOA CHU KANG,5 Room,2075
2016,CHOA CHU KANG,EXECUTIVE,2202.5
2016,CLEMENTI,3 Room,2000
2016,CLEMENTI,4 Room,2550
2016,CLEMENTI,5 Room,NA
2016,CLEMENTI,EXECUTIVE,NA
2016,GEYLANG,3 Room,1862.5
2016,GEYLANG,4 Room,2437.5
2016,GEYLANG,5 Room,2670
2016,GEYLANG,EXECUTIVE,NA
2016,HOUGANG,3 Room,1737.5
2016,HOUGANG,4 Room,2075
2016,HOUGANG,5 Room,2250
2016,HOUGANG,EXECUTIVE,2475
2016,JURONG EAST,3 Room,1807.5
2016,JURONG EAST,4 Room,2362.5
2016,JURONG EAST,5 Room,2475
2016,JURONG EAST,EXECUTIVE,2770
2016,JURONG WEST,3 Room,1787.5
2016,JURONG WEST,4 Room,2275
2016,JURONG WEST,5 Room,2462.5
2016,JURONG WEST,EXECUTIVE,NA
2016,KALLANG/WHAMPOA,3 Room,1987.5
2016,KALLANG/WHAMPOA,4 Room,2525
2016,KALLANG/WHAMPOA,5 Room,2787.5
2016,KALLANG/WHAMPOA,EXECUTIVE,NA
2016,MARINE PARADE,3 Room,1945
2016,MARINE PARADE,4 Room,2290
2016,MARINE PARADE,5 Room,NA
2016,MARINE PARADE,EXECUTIVE,NA
2016,PASIR RIS,3 Room,NA
2016,PASIR RIS,4 Room,2075
2016,PASIR RIS,5 Room,2262.5
2016,PASIR RIS,EXECUTIVE,2400
2016,PUNGGOL,3 Room,NA
2016,PUNGGOL,4 Room,1900
2016,PUNGGOL,5 Room,1987.5
2016,PUNGGOL,EXECUTIVE,NA
2016,QUEENSTOWN,3 Room,2050
2016,QUEENSTOWN,4 Room,2762.5
2016,QUEENSTOWN,5 Room,2962.5
2016,QUEENSTOWN,EXECUTIVE,NA
2016,SEMBAWANG,3 Room,NA
2016,SEMBAWANG,4 Room,1962.5
2016,SEMBAWANG,5 Room,2087.5
2016,SEMBAWANG,EXECUTIVE,2212.5
2016,SENGKANG,3 Room,NA
2016,SENGKANG,4 Room,1975
2016,SENGKANG,5 Room,2050
2016,SENGKANG,EXECUTIVE,2275
2016,SERANGOON,3 Room,1845
2016,SERANGOON,4 Room,2327.5
2016,SERANGOON,5 Room,2467.5
2016,SERANGOON,EXECUTIVE,2662.5
2016,TAMPINES,3 Room,1837.5
2016,TAMPINES,4 Room,2187.5
2016,TAMPINES,5 Room,2375
2016,TAMPINES,EXECUTIVE,NA
2016,TOA PAYOH,3 Room,1962.5
2016,TOA PAYOH,4 Room,2475
2016,TOA PAYOH,5 Room,2712.5
2016,TOA PAYOH,EXECUTIVE,NA
2016,WOODLANDS,3 Room,1500
2016,WOODLANDS,4 Room,1887.5
2016,WOODLANDS,5 Room,2037.5
2016,WOODLANDS,EXECUTIVE,2357.5
2016,YISHUN,3 Room,1662.5
2016,YISHUN,4 Room,2000
2016,YISHUN,5 Room,2200
2016,YISHUN,EXECUTIVE,NA
2017,ANG MO KIO,3 Room,1725
2017,ANG MO KIO,4 Room,2212.5
2017,ANG MO KIO,5 Room,2425
2017,ANG MO KIO,EXECUTIVE,NA
2017,BEDOK,3 Room,1712.5
2017,BEDOK,4 Room,2100
2017,BEDOK,5 Room,2287.5
2017,BEDOK,EXECUTIVE,NA
2017,BISHAN,3 Room,1875
2017,BISHAN,4 Room,2300
2017,BISHAN,5 Room,2575
2017,BISHAN,EXECUTIVE,NA
2017,BUKIT BATOK,3 Room,1625
2017,BUKIT BATOK,4 Room,2000
2017,BUKIT BATOK,5 Room,2220
2017,BUKIT BATOK,EXECUTIVE,2395
2017,BUKIT MERAH,3 Room,1962.5
2017,BUKIT MERAH,4 Room,2600
