centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
AMERICA MONTESSORI INTERNATIONAL PRESCHOOL PTE. LTD.,PT9360,"17J,JALAN HOCK CHYE,538202",538202,538202,17J JALAN HOCK CHYE SINGAPORE 538202,1.35983505,103.8898954
JUS INFANTS @ EAST COAST PTE. LTD.,PT9123,"715,EAST COAST ROAD,459067",459067,459067,715 EAST COAST ROAD FRANKEL ESTATE SINGAPORE 459067,1.312229143,103.9226205
SAFARI HOUSE PRESCHOOL JW,PT9452,"20,JURONG WEST STREET 93,#01-03,JURONG WEST SPORTS & RECREATION CTR,648965",648965,648965,20 JURONG WEST STREET 93 JURONG WEST SPORTS & RECREATION CENTRE SINGAPORE 648965,1.338210887,103.69386870000001
LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD,PT8412,"373,BUKIT BATOK STREET 31,#03-244,650373",650373,650373,373 BUKIT BATOK STREET 31 SINGAPORE 650373,1.358924571,103.75039720000001
"Brainy Bunch International Montessori, Pasir Ris Branch",PT9621,"273,PASIR RIS STREET 21,#01-498,510237",510237,510237,237 PASIR RIS STREET 21 HDB-PASIR RIS SINGAPORE 510237,1.374079169,103.9628679
LES PETITS GAULOIS PTE. LTD.,PT9193,"895,EAST COAST ROAD,459098",459098,459098,895A EAST COAST ROAD SIGLAP SHOPPING CENTRE SINGAPORE 459098,1.3128967759999999,103.9241113
JOSIAH MONTESSORI : CITY CHILDCARE CENTRE,PT8120,"3,Temasek Boulevard,#01-618,Suntec City Mall,038983",038983,038983,3 TEMASEK BOULEVARD UOB SUNTEC CITY BRANCH SINGAPORE 038983,1.294324165,103.860372
MAPLEBEAR KIDS HOUSE PTE. LTD.,PT9268,"15,BUKIT BATOK STREET 22,#02-01,PROPELL BUILDING,659586",659586,659586,15 BUKIT BATOK STREET 22 PROPELL BUILDING SINGAPORE 659586,1.3439822680000002,103.7512535
E-BRIDGE PRE-SCHOOL PTE LTD,EB0009,"78,EDGEDALE PLAINS,828683",828683,828683,78 EDGEDALE PLAINS SINGAPORE 828683,1.3991067169999998,103.9145973
MY WORLD PRESCHOOL LTD.,YM0100,"123,SIMEI STREET 1,#01-402,520123",520123,520123,123 SIMEI STREET 1 HDB-TAMPINES SINGAPORE 520123,1.3453066180000002,103.953188
RAINFOREST SCHOOLHOUSE PTE LTD,PT8837,"70,MARTABAN ROAD,328667",328667,328667,70 MARTABAN ROAD BEACON INTERNATIONAL COLLEGE SINGAPORE 328667,1.3229644440000001,103.84968740000001
SUNFLOWER PRESCHOOL @ FRANKEL PTE LTD,PT9255,"50,FRANKEL AVENUE,FRANKEL ESTATE,458177",458177,458177,50 FRANKEL AVENUE FRANKEL ESTATE SINGAPORE 458177,1.3147508959999998,103.9187123
MY FIRST SKOOL,NT0526,"1,BEDOK SOUTH AVENUE 1,#01-921,460001",460001,460001,1 BEDOK SOUTH AVENUE 1 HDB-BEDOK SINGAPORE 460001,1.320852087,103.93372109999999
