centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
JAMIYAH KINDERGARTEN,RC1865,"31,LORONG 12 GEYLANG,#03JAMIYAH,399006",399006,399006,31 LORONG 12 GEYLANG JAMIYAH ISLAMIC CENTRE SINGAPORE 399006,1.310381851,103.8787866
Zion Bishan Kindergarten,RC1866,"4,BISHAN STREET 13,ZION BISHAN BIBLE PRESBYTERIAN CHURCH,579792",579792,579792,4 BISHAN STREET 13 ZION BISHAN BIBLE PRESBYTERIAN CHURCH SINGAPORE 579792,1.3470906669999998,103.8548784
PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR - TIONG BAHRU BLK 125 (CC),ST0163,"125,KIM TIAN ROAD,#01-88,160125",160125,160125,125 KIM TIAN ROAD HDB-BUKIT MERAH SINGAPORE 160125,1.283634676,103.8281281
Charis Montessori @ Elim,PT9741,"1079,SERANGOON ROAD,ELIM CHURCH,328182",328182,328182,1079 SERANGOON ROAD ELIM CHURCH SINGAPORE 328182,1.323728766,103.8646264
Camelot at River Valley,PT9721,"80,KIM SENG ROAD,#01-08,MIRAGE TOWER,239426",239426,239426,80 KIM SENG ROAD MIRAGE TOWER SINGAPORE 239426,1.291981118,103.8342619
LITTLE KINDER MONTESSORI LLP,PT9121,"55,CHU LIN ROAD,BAMBOO GROVE PARK ,669949",669949,669949,55 CHU LIN ROAD HILLVIEW GARDEN ESTATE SINGAPORE 669949,1.35752686,103.75850729999999
SUNFLOWER PRESCHOOL @ NSE PTE. LTD.,PT9192,"1,YISHUN AVENUE 9,#02-04,NEE SOON EAST COMMUNITY CLUB,768893",768893,768893,1 YISHUN AVENUE 9 SUNFLOWER PRESCHOOL @ NSE PTE. LTD. SINGAPORE 768893,1.431020867,103.83848809999999
Paper Scissors Stone Montessori Kindergarten (Bedok Resevoir Branch),PT9612,"718,BEDOK RESERVOIR ROAD,#01-4590,470718",470718,470718,718 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470718,1.336630599,103.9257485
KIDS EVERLAND HOUSE PTE. LTD.,PT9462,"50,GAMBAS CRESCENT,#01-25,PROXIMA@GAMBAS,757022",757022,757022,50 GAMBAS CRESCENT PROXIMA@GAMBAS SINGAPORE 757022,1.441945939,103.8179151
YWCA MCNAIR ROAD CHILD DEVELOPMENT CENTRE,YW0040,"7,MCNAIR ROAD,328516",328516,328516,7 MCNAIR ROAD SINGAPORE 328516,1.318612408,103.8560949
YWCA BISHAN CHILD DEVELOPMENT CENTRE,YW0120,"185,BISHAN ST 13,#01-323,570185",570185,570185,185 BISHAN STREET 13 HDB-BISHAN SINGAPORE 570185,1.3497620190000001,103.8524727
Clementi Woods Kindergarten LLP,PT9667,"152,WEST COAST ROAD,Clementi Bible Centre,127370",127370,127370,152 WEST COAST ROAD MOUNT CARMEL BIBLE PRESBYTERIAN CHURCH SINGAPORE 127370,1.3027333620000001,103.76584079999999
WESLEY VINEYARD CHILDCARE LTD.,RC1772,"44,LORONG 5 TOA PAYOH,#01-117,310044",310044,310044,44 LORONG 5 TOA PAYOH EAST PAYOH SPRING SINGAPORE 310044,1.336231496,103.8540431
Living Sanctuary Kindergarten,PT9593,"2,HOUGANG STREET 22,538728",538728,538728,2 HOUGANG STREET 22 LIVING SANCTUARY KINDERGARTEN SINGAPORE 538728,1.3559878369999998,103.8914006
MAPLEBEAR LEARNING SCHOOLHOUSE PTE LTD,PT9506,"5,HARPER ROAD,#01-02,Harper,369673",369673,369673,5 HARPER ROAD DIAMOND INDUSTRIES BUILDING SINGAPORE 369673,1.3343553879999999,103.8882127
SUNFLOWER PRESCHOOL @ MINDEF PTE. LTD.,PT9458,"5,DEPOT ROAD,DEFENCE TECHNOLOGY BUILDING,109681",109681,109681,5 DEPOT ROAD DBS DEFENCE TECHNOLOGY TOWER SINGAPORE 109681,1.280316925,103.8141713
LEARNING VISION @ WORK PTE. LTD.,PT9194,"131,RIFLE RANGE ROAD,#03-01,TEMASEK CLUB,588406",588406,588406,131 RIFLE RANGE ROAD TEMASEK CLUB SINGAPORE 588406,1.3463923519999998,103.7807642
AGAPE LITTLE UNI. PTE. LTD.,PT8405,"401,Commonwealth Drive,#02-01,Haw Par Technocentre,149598",149598,149598,401 COMMONWEALTH DRIVE AGAPE LITTLE UNI. PTE. LTD. SINGAPORE 149598,1.3030555129999999,103.79648320000001
STAR LEARNERS @ BISHAN PTE. LTD.,PT8783,"114,BISHAN STREET 12,#01-96,BISHAN VIEW,570114",570114,570114,114 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570114,1.347549415,103.8488805
LORNA WHISTON PRE-SCHOOL,PT8690,"1,STADIUM PLACE,#01-24,KALLANG WAVE MALL,397628",397628,397628,1 STADIUM PLACE OCBC KALLANG WAVE - FAIRPRICE SINGAPORE 397628,1.303071576,103.87304470000001
TWINKLEKIDZ ACADEMY PTE. LTD.,PT8907,"118,FIDELIO STREET,OPERA ESTATE,458493",458493,458493,118 FIDELIO STREET OPERA ESTATE SINGAPORE 458493,1.319768568,103.921357
CHERIE HEARTS @ CHANGI BUSINESS PARK PTE. LTD.,PT8651,"1,CHANGI BUSINESS PARK CRESCENT,#01-01,486025",486025,486025,1 CHANGI BUSINESS PARK CRESCENT JOSIAH MONTESSORI KINDER-CARE SINGAPORE 486025,1.333601586,103.9654119
CHILDREN'S COVE PRESCHOOL PTE.LTD.,PT9390,"58,JALAN PENJARA,149382",149382,149382,58 JALAN PENJARA SINGAPORE 149382,1.2993328659999999,103.80716600000001
SKOOL4KIDZ CENTRE,SK0016,"365,SEMBAWANG CRESCENT,#01-11,MULTI STOREY CAR PARK,750365",750365,750365,365 SEMBAWANG CRESCENT SUN BREEZE SINGAPORE 750365,1.444368326,103.81626390000001
MY FIRST SKOOL,NT0558,"756,JURONG WEST STREET 74 ,#01-68,640756",640756,640756,756 JURONG WEST STREET 74 HDB-JURONG WEST SINGAPORE 640756,1.3493267569999998,103.7007218
JUNIOR CHAMPS EDUCAMPUS PTE LTD,PT9363,"18,TAI SENG STREET,#02-02,18 TAI SENG,539775",539775,539775,18 TAI SENG STREET 18 TAI SENG SINGAPORE 539775,1.336538681,103.8887627
JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,PT8662,"21,HOUGANG STREET 51,#02-11,HOUGANG GREEN SHOPPING MALL,538719",538719,538719,21 HOUGANG STREET 51 DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,1.379317835,103.88784709999999
JUNIOR CHAMPS @ KOVAN PTE. LTD.,PT8457,"205,HOUGANG STREET 21,#04-00,HEARTLAND MALL- KOVAN,530205",530205,530205,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,1.359544509,103.8851691
YWCA BEDOK SOUTH CHILD DEVELOPMENT CENTRE,YW0020,"24,NEW UPPER CHANGI ROAD,#01-608,461024",461024,461024,24 NEW UPPER CHANGI ROAD HDB-BEDOK SINGAPORE 461024,1.323864004,103.93339859999999
3HOUSE KINDERGARTEN (TAMPINES),PT9622,"891,TAMPINES AVENUE 8,#01520891",520891,520891,891 TAMPINES AVENUE 8 HDB-TAMPINES SINGAPORE 520891,1.349209487,103.931127
LITTLE OAKS MONTESSORI KINDERGARTEN,PT9678,"98 FARRER ROAD,259226",259226,259226,98 FARRER ROAD CHIP HOCK GARDENS SINGAPORE 259226,1.319736941,103.8118465
PCF SPARKLETOTS PRESCHOOL @ SENGKANG WEST BLK 351(EY),ST0206,"351,ANCHORVALE ROAD,#01-07,MULTI STOREY CAR PARK,540351",540351,540351,351 ANCHORVALE ROAD ANCHORVALE FIELDS SINGAPORE 540351,1.393327866,103.8866176
PCF Sparkletots Preschool @ Tampines - Changkat Blk 358 (KN),ST0263,"358,Tampines Street 33,#01-666,520358",520358,520358,358 TAMPINES STREET 33 HDB-TAMPINES SINGAPORE 520358,1.35447448,103.9610042
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,RC1758,"151,JALAN TECK WHYE,#01-29,680151",680151,680151,151 JALAN TECK WHYE HDB-CHOA CHU KANG SINGAPORE 680151,1.378410614,103.75725109999999
PCF Sparkletots Preschool @ Cheng San - Seletar Blk 435 (KN),ST0290,"435,Ang Mo Kio Avenue 10,#01-1393,560435",560435,560435,435 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560435,1.367703678,103.8542143
PCF Sparkletots Preschool @ Radin Mas Blk 70A (KN),ST0217,"70A,Redhill Close,#07-01,151070",151070,151070,70A REDHILL CLOSE REDHILL RISE SINGAPORE 151070,1.287006588,103.8169125
PCF SPARKLETOTS PRESCHOOL @ SERANGOON BLK 141 (CC),ST0095,"141,SERANGOON NORTH AVENUE 2,#01-08,550141",550141,550141,141 SERANGOON NORTH AVENUE 2 HDB-SERANGOON ESTATE SINGAPORE 550141,1.3685942130000002,103.87452320000001
PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK BLK 807C (CC),ST0174,"807C,CHOA CHU KANG AVENUE 1,#01-552,KEAT HONG AXIS,683807",683807,683807,807C CHOA CHU KANG AVENUE 1 KEAT HONG AXIS SINGAPORE 683807,1.3761560019999999,103.7458213
LIFE CHILD CARE CENTRE,RC1560,"138,Prinsep Street,#1-00,188659",188659,188659,138 PRINSEP STREET SINGAPORE 188659,1.3020913109999999,103.85198100000001
PCF SPARKLETOTS PRESCHOOL @ WHAMPOA BLK 105 (CC),ST0071,"105,JALAN RAJAH,#01-78,320105",320105,320105,105 JALAN RAJAH RAJAH COURT SINGAPORE 320105,1.3282655140000001,103.8541545
PCF Sparkletots Preschool @ Siglap Blk 170 (KN),ST0244,"170,Bedok South Road,#01-354,460170",460170,460170,170 BEDOK SOUTH ROAD SIGLAP EAST SINGAPORE 460170,1.320720104,103.9461111
KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE,RC1766,"663C,JURONG WEST STREET 65,#01-237,643663",643663,643663,663C JURONG WEST STREET 65 HDB-JURONG WEST SINGAPORE 643663,1.338045317,103.7024297
LITTLE GEMS PRESCHOOL PTE LTD,PT9235,"3,ANG MO KIO STREET 62,#01-09,LINK@AMK,569139",569139,569139,3 ANG MO KIO STREET 62 LINK@AMK SINGAPORE 569139,1.38654033,103.84471640000001
Baby Elk Infant Care Pte Ltd,PT9484,"3,ANG MO KIO STREET 62,#01-36,LINK@AMK,569139",569139,569139,3 ANG MO KIO STREET 62 LINK@AMK SINGAPORE 569139,1.38654033,103.84471640000001
CHILDFIRST,PT8717,"229,MOUNTBATTEN ROAD,#01-32,MOUNTBATTEN SQUARE,398007",398007,398007,229 MOUNTBATTEN ROAD CHILDFIRST SINGAPORE 398007,1.307465187,103.8812708
PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY BLK 571B (CC),ST0125,"571B,WOODLANDS AVENUE 1,#01-904,732571",732571,732571,571B WOODLANDS AVENUE 1 CHAMPIONS COURT SINGAPORE 732571,1.4301316309999998,103.79064240000001
MAPLEBEAR LEARNING CENTRE PTE LTD,PT9432,"12,PHILLIPS AVENUE,546934",546934,546934,12 PHILLIPS AVENUE SINGAPORE 546934,1.3639163930000002,103.87612990000001
MODERN MONTESSORI KINDERGARTEN,PT9669,"12,KEE SUN AVENUE,457037",457037,457037,12 KEE SUN AVENUE SINGAPORE 457037,1.311416041,103.92929009999999
CARPE DIEM SCHOOLHOUSE PTE LTD,PT5790,"144A,JALAN JURONG KECHIL,598640",598640,598640,146 JALAN JURONG KECHIL MANDARIN PARK SINGAPORE 598640,1.343465125,103.770323
ELFA Chinese Kindergarten,PT9459,"3,PANDAN VALLEY,#01-316,CHEMPAKA COURT,597627",597627,597627,"3 PANDAN VALLEY PANDAN VALLEY, CHEMPAKA COURT SINGAPORE 597627",1.319942403,103.77954840000001
NURTURESTARS CHILD CARE,PT9249,"9,SENTUL CRESCENT,#03-01,828654",828654,828654,9 SENTUL CRESCENT NURTURESTARS CHILD CARE SINGAPORE 828654,1.4101132859999999,103.9060319
YWCA ANG MO KIO CHILD DEVELOPMENT CENTRE,YW0010,"513,ANG MO KIO AVE 8,#01-2776,560513",560513,560513,513 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560513,1.372736969,103.8501949
Cedan Kindergarten,PT9585,"198,PUNGGOL FIELD,#02-2,820198",820198,820198,198 PUNGGOL FIELD OCBC PUNGGOL FIELD SINGAPORE 820198,1.399462957,103.9064024
YWCA OUTRAM CHILD DEVELOPMENT CENTRE,YW0070,"254,OUTRAM ROAD,169051",169051,169051,254 OUTRAM ROAD YWCA OUTRAM CHILD DEVELOPMENT CENTRE SINGAPORE 169051,1.285261488,103.8353732
YWCA MARINE DRIVE CHILD DEVELOPMENT CENTRE,YW0050,"66,MARINE DRIVE,#01-202,440066",440066,440066,66 MARINE DRIVE MARINE DRIVE GARDENS SINGAPORE 440066,1.30391193,103.9097405
YWCA BUKIT GOMBAK CHILD DEVELOPMENT CENTRE,YW0110,"531,BUKIT BATOK STREET 51,#01-136,650531",650531,650531,531 BUKIT BATOK STREET 51 HDB-BUKIT BATOK SINGAPORE 650531,1.356289239,103.7504097
YWCA PASIR RIS CHILD DEVELOPMENT CENTRE,YW0150,"214,PASIR RIS STREET 21,#01-256,510214",510214,510214,214 PASIR RIS STREET 21 HDB-PASIR RIS SINGAPORE 510214,1.3677150809999998,103.9613002
BRILLIANT TOTS @ HOUGANG PTE. LTD,PT9541,"2,TAI THONG CRESCENT,#01-08,THE VENUE SHOPPES,347836",347836,347836,2 TAI THONG CRESCENT THE VENUE SHOPPES SINGAPORE 347836,1.328850893,103.8691847
KidsCampus Whampoa Pte Ltd,PT9283,"300,WHAMPOA DRIVE,#01-02,WHAMPOA COMMUNITY CLUB,327737",327737,327737,300 WHAMPOA DRIVE WHAMPOA COMMUNITY CLUB SINGAPORE 327737,1.3246395979999999,103.8569792
BRIGHT JUNIORS PTE. LTD.,PT9021,"350,CORPORATION DRIVE,#01-550,610350",610350,610350,350 CORPORATION DRIVE HDB-TAMAN JURONG SINGAPORE 610350,1.338671624,103.719137
BRIGHT JUNIORS PTE LTD,PT9020,"660D,JURONG WEST STREET 64,#01-334,644660",644660,644660,660D JURONG WEST STREET 64 HDB-JURONG WEST SINGAPORE 644660,1.33638401,103.7033827
BRIGHT JUNIORS PTE. LTD.,PT9024,"140,BISHAN STREET 12,#01-484,BISHAN GREEN,570140",570140,570140,140 BISHAN STREET 12 BISHAN GREEN SINGAPORE 570140,1.3447996709999999,103.8531065
CHERIE HEARTS HOLDINGS PTE. LTD.,PT9017,"533,CHOA CHU KANG STREET 51,#02-01,680533",680533,680533,533 CHOA CHU KANG STREET 51 DBS NTUC LIMBANG SHOPPING CENTRE SINGAPORE 680533,1.3920738869999998,103.7430996
MINDCHAMPS PRESCHOOL @ RIVER VALLEY PTE. LTD.,PT8992,"58,KIM YAM ROAD,#03-01,THE HERENCIA,239359",239359,239359,58 KIM YAM ROAD THE HERENCIA SINGAPORE 239359,1.2929927940000001,103.8397246
ETONHOUSE BILINGUAL PRE-SCHOOL PTE. LTD.,PT9114,"215,UPPER BUKIT TIMAH ROAD,COURTAULDS HOUSE,588184",588184,588184,215 UPPER BUKIT TIMAH ROAD SINGAPORE 588184,1.345412466,103.7730093
LITTLE FOOTPRINTS SCHOOLHOUSE (WOODLAND) PTE. LTD.,PT8688,"551,WOODLANDS DRIVE 44,#01-42,730551",730551,730551,551 WOODLANDS DRIVE 44 HDB-WOODLANDS SINGAPORE 730551,1.4331489119999998,103.79520959999999
Chinese Kindergarten,RC1818,"256,OUTRAM ROAD,#03169053",169053,169053,256 OUTRAM ROAD CHINESE KINDERGARTEN SINGAPORE 169053,1.285751413,103.8359382
MULBERRY LEARNING CENTRE@FUSIONOPOLIS PTE. LTD.,PT9740,"1,FUSIONOPOLIS WALK,#01-14,SOLARIS,138628",138628,138628,1 FUSIONOPOLIS WALK SOLARIS SINGAPORE 138628,1.29808941,103.7900585
STAR LEARNERS @ WOODLANDS CIRCLE PTE. LTD.,PT9148,"764A,WOODLANDS CIRCLE,#01-300,731764",731764,731764,764A WOODLANDS CIRCLE HDB-WOODLANDS SINGAPORE 731764,1.4456106480000002,103.7967806
MODERN MONTESSORI CHILD CARE & DEVELOPMENT CENTRE PTE LTD,PT5650,"91,KOVAN ROAD,544914",544914,544914,91 KOVAN ROAD SINGAPORE 544914,1.354870372,103.8779549
STAR LEARNERS @ SIMEI PTE. LTD.,PT8110,"9,HARVEY AVENUE,489480",489480,489480,9 HARVEY AVENUE SINGAPORE 489480,1.3378471,103.9549881
SUNFLOWER PRESCHOOL @ TECK GHEE PTE LTD,PT9408,"455B,ANG MO KIO STREET 44,#01-21,TECK GHEE PARKVIEW,562455",562455,562455,455B ANG MO KIO STREET 44 TECK GHEE PARKVIEW SINGAPORE 562455,1.368330179,103.8584957
Little Footprints Preschool @ Boon Keng Pte Ltd,PT9421,"998,BENDEMEER ROAD,#01-01,339945",339945,339945,998 BENDEMEER ROAD FOOD CENTRE SINGAPORE 339945,1.319582748,103.8659436
PCF SPARKLETOTS PRESCHOOL @ QUEENSTOWN BLK 53A (CC),ST0176,"53A,STRATHMORE AVENUE,#01-01,FORFAR HEIGHTS,143053",143053,143053,53A STRATHMORE AVENUE MULTI STOREY CAR PARK SINGAPORE 143053,1.293335605,103.8076139
D'Learning Sparks Montessori,PT9683,"103,103 Jalan Kembangan,419141",419141,419141,103 JALAN KEMBANGAN SINGAPORE 419141,1.3250946609999998,103.91321409999999
SHEFFIELD KIDSWORLD (CCK) PTE. LTD.,PT6690,"433,CHOA CHU KANG AVE 4,#01-535,680433",680433,680433,433 CHOA CHU KANG AVENUE 4 HDB-CHOA CHU KANG SINGAPORE 680433,1.3849307830000002,103.7417718
Darul Ghufran Mosque Kindergarten,RC1821,"503,TAMPINES AVENUE 5,#02MASJID DARUL GHUFRAN,529651",529651,529651,503 TAMPINES AVENUE 5 MASJID DARUL GHUFRAN SINGAPORE 529651,1.3553395869999998,103.93996259999999
MLC (PASIR RIS) PTE. LTD,PT9134,"735,PASIR RIS STREET 72,#02-344,PASIR RIS WEST PLAZA,510735",510735,510735,735 PASIR RIS STREET 72 UOB PASIR RIS WEST PLAZA SINGAPORE 510735,1.3799306080000002,103.9366217
WCHESTER PRESCHOOLERS PTE LTD,PT9446,"1,KAY SIANG ROAD,#01-01,248922",248922,248922,1 KAY SIANG ROAD SINGAPORE 248922,1.296021602,103.81556409999999
PCF Sparkletots Preschool @ Tampines Central Blk 868A (KN),ST0362,"868A,Tampines Avenue 8,#01-534,520868",520868,520868,868 TAMPINES STREET 83 TAMPINES VISTA SINGAPORE 520868,1.354776164,103.9339796
MY WORLD PRESCHOOL LTD,YM0172,"675,YISHUN AVENUE 4,#02-01,760675",760675,760675,675 YISHUN AVENUE 4 FERN GROVE @ YISHUN SINGAPORE 760675,1.42015551,103.8435589
LUTHERAN CHILD CARE CENTRE,RC0140,"124,YISHUN STREET 11,#01-367,760124",760124,760124,124 YISHUN STREET 11 CHONG PANG VIEW SINGAPORE 760124,1.4345903,103.83113929999999
HI-5 HOL PRESCHOOL @ BUKIT TIMAH PTE LTD,PT9485,"6,JALAN KERIA,MAYFAIR PARK,588534",588534,588534,6 JALAN KERIA MAYFAIR PARK SINGAPORE 588534,1.340509881,103.78240129999999
RAINBOW COVE EDUCATIONAL SERVICES PTE. LTD.,PT8393,"319,UPPER EAST COAST ROAD,SPRING PARK ESTATE,466451",466451,466451,319 UPPER EAST COAST ROAD SPRING PARK ESTATE SINGAPORE 466451,1.314912354,103.9377304
MULBERRY LEARNING CENTRE @ BUKIT MERAH PTE. LTD.,PT8897,"168,JALAN BUKIT MERAH,#01-09,CONNECTION ONE,150168",150168,150168,168 JALAN BUKIT MERAH CONNECTION ONE SINGAPORE 150168,1.2829323129999999,103.8187986
STAR LEARNERS @ TOA PAYOH PTE LTD,PT9407,"259,KIM KEAT AVENUE,#01-04,310259",310259,310259,259 KIM KEAT AVENUE HDB-TOA PAYOH SINGAPORE 310259,1.333895887,103.85755879999999
St Joseph'S Church Kindergarten,RC1827,"600,600 Upper Bukit Timah Road,679331",679331,679331,600 UPPER BUKIT TIMAH ROAD SINGAPORE 679331,1.367783589,103.7681074
PCF Sparkletots Preschool @ Toa Payoh West - Balestier Blk 205 (DS),ST0226,"205,Toa Payoh North,#01-1173,310205",310205,310205,205 TOA PAYOH NORTH TOA PAYOH NORTH SINGAPORE 310205,1.34227486,103.8480503
BETHEL CHILD DEVELOPMENT CENTRE,RC1765,"111,ALJUNIED CRESCENT,#01-110,380111",380111,380111,111 ALJUNIED CRESCENT HDB-GEYLANG EAST SINGAPORE 380111,1.320397276,103.8842468
BRIGHT KIDS SCHOOL HOUSE PTE LTD,PT7540,"192,PUNGGOL CENTRAL,#01-311,820192",820192,820192,192 PUNGGOL CENTRAL SINGAPORE 820192,1.399770926,103.9095143
PCS JURONG WEST CENTRE,PW0050,"452,JURONG WEST STREET 42,#01-170,640452",640452,640452,452 JURONG WEST STREET 42 HDB-JURONG WEST SINGAPORE 640452,1.3515826919999998,103.7185162
MAPLE BEAR LEARNING PLACE PTE. LTD.,PT9536,"1,WEST COAST DRIVE,#01-57,NEWEST,128020",128020,128020,1 WEST COAST DRIVE NEWEST SINGAPORE 128020,1.316413219,103.75745129999999
GREENLAND CHILDCARE @ FERNVALE PTE LTD,PT9240,"472C,FERNVALE STREET,#01-63,FERNVALE RIVERGROVE,793472",793472,793472,472C FERNVALE STREET FERNVALE RIVERGROVE SINGAPORE 793472,1.3963155219999999,103.8811673
The Ascension Kindergarten,RC1824,"11,11 Francis Thomas Drive,ASCENSION KINDERGARTEN,359338",359338,359338,11 FRANCIS THOMAS DRIVE ASCENSION KINDERGARTEN SINGAPORE 359338,1.330094481,103.8665542
KidsCampus TPCC Pte Ltd,PT8934,"101,CANTONMENT ROAD,#03-1,TANJONG PAGAR COMMUNITY CLUB,089774",089774,089774,101 CANTONMENT ROAD KIDS CAMPUS TANJONG PAGAR LLP SINGAPORE 089774,1.276166993,103.8415842
PCF SPARKLETOTS PRESCHOOL @ FENGSHAN BLK 76 (CC),ST0025,"76,BEDOK NORTH ROAD,#01-178,460076",460076,460076,76 BEDOK NORTH ROAD HDB-BEDOK SINGAPORE 460076,1.328296665,103.94206750000001
PCF Sparkletots Preschool @ Kampong Chai Chee Blk 775 (KN),ST0251,"775,Bedok Reservoir View,#01-333,470775",470775,470775,775 BEDOK RESERVOIR VIEW SINGAPORE 470775,1.336577884,103.9359321
St. Paul's Church Kindergarten,RC1878,"843,UPPER SERANGOON ROAD,534683",534683,534683,843 UPPER SERANGOON ROAD SAINT PAUL'S CHURCH SINGAPORE 534683,1.358275526,103.8823918
CGM Kindergarten,RC1806,"172,CHOA CHU KANG AVENUE 1,COMFORT GARDEN,689457",689457,689457,172 CHOA CHU KANG AVENUE 1 SINGAPORE 689457,1.3772326119999998,103.7467304
PICKET FENCE @ TAMPINES PTE. LTD.,PT8587,"817,TAMPINES STREET 81,#01-588,520817",520817,520817,817 TAMPINES STREET 81 TAMPINES POLYVIEW SINGAPORE 520817,1.347639667,103.93669799999999
PCF SPARKLETOTS PRESCHOOL @ PAYA LEBAR BLK 221 (CC),ST0046,"221,HOUGANG STREET 21,#01-90,530221",530221,530221,221 HOUGANG STREET 21 KOVAN GREEN SINGAPORE 530221,1.356604544,103.8836506
PCF Sparkletots Preschool @ West Coast Blk 728 (KN),ST0213,"728,Clementi West Street 2,#01-390,120728",120728,120728,728 CLEMENTI WEST STREET 2 HDB-CLEMENTI SINGAPORE 120728,1.305202068,103.76383340000001
HAVEN SCHOOLHOUSE @ BAHAGIA,RC1763,"29,JALAN BAHAGIA,#01-348,320029",320029,320029,29 JALAN BAHAGIA WHAMPOA VISTA SINGAPORE 320029,1.325258074,103.8589406
MAPLEBEAR EXPLORERS PTE. LTD.,PT9349,"81,TAGORE LANE,#01-05,TAG A,787502",787502,787502,81 TAGORE LANE TAG A SINGAPORE 787502,1.387216138,103.82916290000001
INSPIRE KIDS INTERNATIONAL (WOODLANDS) LLP,PT9238,"851,WOODLANDS STREET 83,#01-18,730851",730851,730851,851 WOODLANDS STREET 83 HDB-WOODLANDS SINGAPORE 730851,1.44046012,103.7926756
PAT'S SCHOOLHOUSE PTE LTD,PT5170,"61A,MOUNT SINAI DRIVE,277114",277114,277114,61A MOUNT SINAI DRIVE SINGAPORE 277114,1.318198832,103.7788979
Rainbow Cove Montessori,PT9658,"354,ALEXANDRA ROAD,#01-04,ALEXIS,159948",159948,159948,354 ALEXANDRA ROAD ALEXIS SINGAPORE 159948,1.2913037920000001,103.807351
PCF Sparkletots Preschool @ Bedok Reservoir - Punggol Blk 713 (DS),ST0250,"713,Bedok Reservoir Road,#01-3960,470713",470713,470713,713 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470713,1.3363118059999999,103.9223922
SAFARI HOUSE BABIES & TODDLERS,PT9179,"11,SLIM BARRACKS RISE,#06-02,NTU Alumni House,138664",138664,138664,11 SLIM BARRACKS RISE NTU@ONE-NORTH SINGAPORE 138664,1.303853873,103.7898727
CARPE DIEM KIDZ PLAYHOUSE PTE. LTD.,PT8867,"259,CANADA ROAD,759791",759791,759791,259 CANADA ROAD SINGAPORE 759791,1.456236825,103.8295949
MINDCHAMPS PRESCHOOL @ SERANGOON PTE. LIMITED,PT8908,"151,LORONG CHUAN,#03-06,NEW TECH PARK,556741",556741,556741,151 LORONG CHUAN NTP+ SINGAPORE 556741,1.351485853,103.86153320000001
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,RC1775,"542,CHOA CHU KANG STREET 52,#01-66,680542",680542,680542,542 CHOA CHU KANG STREET 52 HDB-CHOA CHU KANG SINGAPORE 680542,1.3936050180000001,103.7447926
BRIGHT KIDS @ PASIR RIS PTE LTD,PT3000,"764,PASIR RIS STREET 71,#01-246,510764",510764,510764,764 PASIR RIS STREET 71 HDB-PASIR RIS SINGAPORE 510764,1.3763070469999998,103.9345593
Thinkkidz,PT9739,"3,ANG MO KIO STREET 62,#01-37,LINK@AMK,569139",569139,569139,3 ANG MO KIO STREET 62 LINK@AMK SINGAPORE 569139,1.38654033,103.84471640000001
CHAPPIE TOTS CENTER PTE LTD,PT8784,"218,BEDOK NORTH STREET 1,#01-23,460218",460218,460218,218 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460218,1.327492955,103.93424940000001
Huda Childcare (WRR) Pte Ltd,PT9738,"11,WOODLANDS CLOSE,#01-03,WOODLANDS 11,737853",737853,737853,11 WOODLANDS CLOSE STAR LEARNERS @ WOODLANDS PTE LTD SINGAPORE 737853,1.434758403,103.80272109999999
MY FIRST SKOOL,NT0430,"507A,WELLINGTON CIRCLE,#01-146,751507",751507,751507,507A WELLINGTON CIRCLE MONTREAL SPRING SINGAPORE 751507,1.452730801,103.82396690000002
HAMILTON PRESCHOOL,PT9069,"463B,SEMBAWANG DRIVE,#01-385,752463",752463,752463,463B SEMBAWANG DRIVE SEMBAWANG RIVERLODGE SINGAPORE 752463,1.455998695,103.81397170000001
GLOBAL TOTS @ SEMBAWANG PTE LTD,PT9346,"579,SEMBAWANG PLACE,GOLDWOOD GARDENS,758427",758427,758427,579 SEMBAWANG PLACE SINGAPORE 758427,1.438177675,103.82465570000001
SUNSHINE KIDS CARE CENTRE @ TAMPINES PTE. LTD.,PT9119,"519A,TAMPINES CENTRAL 8,#01-11,521519",521519,521519,519A TAMPINES CENTRAL 8 CENTRALE 8 AT TAMPINES SINGAPORE 521519,1.357275945,103.9403816
