school_name,address,postal_code,mainlevel_code,postal,latitude,longtitude
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT UNITY PRIMARY SCHOOL SINGAPORE 688268,688268,PRIMARY,688268,1.40282339,103.7469934
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,757714,PRIMARY,757714,1.4510640069999998,103.8159709
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE PRO-TEACH SCHOOLCARE (RIVERVALE) LLP SINGAPORE 545092,545092,PRIMARY,545092,1.393414025,103.90455949999999
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST STREET 61 JURONG WEST PRIMARY SCHOOL SINGAPORE 648368,648368,PRIMARY,648368,1.3392437529999999,103.6988958
EAST SPRING PRIMARY SCHOOL,31 TAMPINES STREET 33 NASCANS @ EAST SPRING SINGAPORE 529258,529258,PRIMARY,529258,1.3527701380000001,103.96174309999999
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908,738908,PRIMARY,738908,1.4441483590000002,103.7945453
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE STREET PRO-TEACH SCHOOLCARE (COMPASSVALE) SINGAPORE 545091,545091,PRIMARY,545091,1.394445295,103.8978122
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,738079,PRIMARY,738079,1.43305806,103.7903896
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE SEMBAWANG PRIMARY SCHOOL SINGAPORE 757715,757715,PRIMARY,757715,1.445043645,103.8210215
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814,689814,PRIMARY,689814,1.380411513,103.7361428
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET NORTH SPRING PRIMARY SCHOOL SINGAPORE 545088,545088,PRIMARY,545088,1.3875282359999999,103.903513
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG STREET 64 PRO-TEACH SCHOOLCARE (YEW TEE PRIMARY) SINGAPORE 689100,689100,PRIMARY,689100,1.396726035,103.751818
HOUGANG PRIMARY SCHOOL,1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238,534238,PRIMARY,534238,1.378039861,103.8811662
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS STREET 71 MERIDIAN PRIMARY SCHOOL SINGAPORE 518798,518798,PRIMARY,518798,1.3759708309999998,103.9351432
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942,737942,PRIMARY,737942,1.4401104980000001,103.80462929999999
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785,569785,PRIMARY,569785,1.384665965,103.84123840000001
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE PRO-TEACH SCHOOLCARE (WELLINGTON) SINGAPORE 757702,757702,PRIMARY,757702,1.4518908330000002,103.82234190000001
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,PRIMARY,828869,1.400297835,103.9074305
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST STREET 72 WEST GROVE PRIMARY SCHOOL SINGAPORE 649223,649223,PRIMARY,649223,1.3447121219999998,103.6989642
CASUARINA PRIMARY SCHOOL,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935,518935,PRIMARY,518935,1.372789016,103.9572913
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903,129903,PRIMARY,129903,1.315808563,103.76305479999999
TANJONG KATONG PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD NEW UPPER CHANGI ROAD SINGAPORE 467353,467353,PRIMARY,467353,1.32401712,103.93896679999999
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206,569206,SECONDARY,569206,1.374242189,103.85143000000001
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI BARTLEY SECONDARY SCHOOL SINGAPORE 538403,538403,SECONDARY,538403,1.34001742,103.88245500000001
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990,318990,SECONDARY,318990,1.341790511,103.85206490000002
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692,349692,SECONDARY,349692,1.334527365,103.873791
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961,247961,SECONDARY,247961,1.293305114,103.8176348
GAN ENG SENG SCHOOL,1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561,159561,SECONDARY,159561,1.289071145,103.8237337
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE QUEENSWAY SECONDARY SCHOOL SINGAPORE 149295,149295,SECONDARY,149295,1.300475167,103.80172359999999
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD SINGAPORE 259978,259978,SECONDARY,259978,1.311695028,103.82895959999999
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (S.RAJARATNAM BLOCK) SINGAPORE 575954,575954,MIXED LEVEL,575954,1.346274154,103.8441309
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW SERANGOON SECONDARY SCHOOL SINGAPORE 534237,534237,SECONDARY,534237,1.375555333,103.9019104
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD COMMONWEALTH SECONDARY SCHOOL SINGAPORE 608784,608784,SECONDARY,608784,1.3191280779999999,103.7457555
TANJONG KATONG GIRLS' SCHOOL,2 BEDOK SOUTH ROAD SINGAPORE 469268,469268,SECONDARY,469268,1.32203912,103.9270308
VICTORIA SCHOOL,2 SIGLAP LINK VICTORIA SCHOOL SINGAPORE 448880,448880,SECONDARY,448880,1.308356824,103.9276115
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24 WHITLEY SECONDARY SCHOOL SINGAPORE 579747,579747,SECONDARY,579747,1.355494624,103.8425639
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41 YUHUA SECONDARY SCHOOL SINGAPORE 649406,649406,SECONDARY,649406,1.347218449,103.72258149999999
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71 YISHUN SECONDARY SCHOOL SINGAPORE 768516,768516,SECONDARY,768516,1.4281320119999998,103.82881479999999
BENDEMEER SECONDARY SCHOOL,1 SAINT WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919,327919,SECONDARY,327919,1.324611113,103.86097029999999
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1 FUCHUN SECONDARY SCHOOL SINGAPORE 739062,739062,SECONDARY,739062,1.430833988,103.777148
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362,569362,SECONDARY,569362,1.367359004,103.84260040000001
